Menu      ,Title,URL,Description,MoreInfo
Codes    ,A C# implementation of the GCC-PHAT algorithm ,[go to repo](https://github.com/pmarmaroli/gccphat)          ,A command-line tool for estimating the time delay between the two channels of a stereo signal using the Generalized Cross-Correlation Phase Transform (GCC-PHAT) technique ,[read Linkedin article](https://www.linkedin.com/pulse/accurate-time-delay-estimation-gcc-phat-patrick-marmaroli-eu7jf/?trackingId=Wy8nO%2By6Ssqw0ffHPNFgNQ%3D%3D)
Codes    ,Matlab animations                             ,[go to repo](https://github.com/pmarmaroli/matlab-animation),Some Matlab animations of key physics and signal processing concepts                                                                                                       , 
Codes    ,AES file encryption and decryption            ,[go to repo](https://github.com/pmarmaroli/CryptoWizard),a versatile command-line tool for AES file encryption decryption and key generation.                                                                                       ,
Websites  ,Vocametrix                                    ,[go to website](https://www.vocametrix.com)                     ,Voice-controlled games and audio analysis tools for speech therapy                                                                                                         ,
Websites  ,Hidacs                                        ,[go to website](https://www.hidacs.ch)                       ,Signal processing engineering services                                                                                                                                     ,
Demos     ,3D Sound with Matlab                          ,[see the demo](https://studio.youtube.com/video/S-NQ4vEIL_w),Implementation of an HRTF-based interface for 3D sound rendering                                                                                                           ,
Demos ,Sound source localization                     ,[see the animation](https://youtu.be/gUbjNSG2UK4),Localizing a sound source with a microphone array                                                                                                                          ,
Demos ,GCC-PHAT vs classical cross-correlation       ,[see the animation](https://youtu.be/wQo50Ot2UOw),Visualizing Time Delay Estimation with GCC-PHAT and classical cross-correlation                                                                                            ,
Demos     ,Audio analysis web platform                   ,[see the demo](https://youtu.be/yhOnry-2xuo),a quick overview of the Vocametrix Audio Analysis platform                                                                                                                 ,
Games     ,Say one sound                                 ,[see the game](https://youtu.be/ap-6O9KR5GU),A prototype of matlab-based game that reacts to voice and phoneme pronunciation                                                                                            ,
Websites  ,ChefFantastique                               ,[go to website](https://www.cheffantastique.com/),AI-assistant that generates custom recipes.                                                                                                                                ,[read technical details](/moreinfo/cheffantastique.html)
Contact   ,My Linkedin                           ,[linkedin/pmarmaroli](https://www.linkedin.com/in/),,
Contact   ,My Github                             ,[github/pmarmaroli](https://github.com/pmarmaroli),,
Contact   ,My Email                                      ,[gmail](hmailto:patrick.marmaroli@gmail.com),,
Codes    ,HadithGPT                                    ,[go to repo](https://github.com/pmarmaroli/HadithGPT)           ,accessible platform for searching and reading Hadiths using modern LLM technologies,[read technical details](/moreinfo/hadithgpt.html)  
